serial;ambient_temp_C;humidity;object_temp_C;cooling_state;critical_level;time_min
318;-11.25;0.56;-11.25;0.0;0;318
319;-11.25;0.56;-11.25;0.0;0;319
320;-11.25;0.56;-11.25;0.0;0;320
321;-11.25;0.56;-11.25;0.0;0;321
322;-11.25;0.56;-11.25;0.0;0;322
323;-11.25;0.56;-11.25;0.0;0;323
324;-11.25;0.56;-11.25;0.0;0;324
325;-11.25;0.56;-11.25;0.0;0;325
326;-11.25;0.56;-11.25;0.0;0;326
327;-11.25;0.56;-11.25;0.0;0;327
328;-11.25;0.56;-11.25;0.0;0;328
329;-11.25;0.56;-11.25;0.0;0;329
330;-11.25;0.56;-11.25;0.0;0;330
331;-11.25;0.56;-11.25;0.0;0;331
332;-11.25;0.56;-11.25;0.0;0;332
333;-11.25;0.56;-11.25;0.0;0;333
334;-11.25;0.56;-11.25;0.0;0;334
335;-11.25;0.56;-11.25;0.0;0;335
336;-11.25;0.56;-11.25;0.0;0;336
337;-11.25;0.56;-11.25;0.0;0;337
338;-11.25;0.56;-11.25;0.0;0;338
339;-11.25;0.56;-11.25;0.0;0;339
340;-11.25;0.56;-11.25;0.0;0;340
341;-11.19;0.56;-11.19;0.0;0;341
342;-11.19;0.56;-11.19;0.0;0;342
343;-11.25;0.56;-11.25;0.0;0;343
344;-11.25;0.56;-11.25;0.0;0;344
345;-11.25;0.56;-11.25;0.0;0;345
346;-11.25;0.56;-11.25;0.0;0;346
347;-11.25;0.56;-11.25;0.0;0;347
348;-11.25;0.56;-11.25;0.0;0;348
349;-11.25;0.56;-11.25;0.0;0;349
350;-11.25;0.56;-11.25;0.0;0;350
351;-11.25;0.56;-11.25;0.0;0;351
352;-11.25;0.56;-11.25;0.0;0;352
353;-11.25;0.56;-11.25;0.0;0;353
354;-11.25;0.56;-11.25;0.0;0;354
355;-11.25;0.56;-11.25;0.0;0;355
356;-11.25;0.56;-11.25;0.0;0;356
357;-11.25;0.56;-11.25;0.0;0;357
358;-11.25;0.56;-11.25;0.0;0;358
359;-11.25;0.56;-11.25;0.0;0;359
360;-11.25;0.56;-11.25;0.0;0;360
361;-11.25;0.56;-11.25;0.0;0;361
362;-11.25;0.56;-11.25;0.0;0;362
363;-11.19;0.56;-11.19;0.0;0;363
364;-11.25;0.56;-11.25;0.0;0;364
365;-11.25;0.56;-11.25;0.0;0;365
366;-11.25;0.56;-11.25;0.0;0;366
367;-11.19;0.56;-11.19;0.0;0;367
